#mainName|petType|allowed|dangerLevel|reason
연어트릿|강아지,고양이|허용|낮음|영양가 높고 알레르기 적음
참치트릿|강아지|주의|중간|나트륨 과다 주의
치즈맛트릿|강아지|주의|중간|지방 많아 소량만 허용
닭육포간식|강아지|주의|중간|첨가물 여부 확인 필요
소고기육포간식|강아지|주의|중간|염분 포함 가능
오리목뼈(생)|강아지|주의|중간|생뼈는 상대적으로 부러짐 위험이 적지만 질식·장폐색 위험 존재
오리목뼈(익힘)|강아지,고양이|금지|높음|익힌 뼈는 날카롭게 부러져 내장 손상 가능
닭날개뼈(생)|강아지|주의|중간|질식 위험 있어 항상 모니터링 필요
닭날개뼈(익힘)|강아지,고양이|금지|높음|익히면 파편처럼 부러져 매우 위험함
소꼬리뼈|강아지|주의|중간|단단해 치아 파절 위험
돼지갈비뼈|강아지,고양이|금지|높음|뼈 조각이 장을 찌를 수 있어 위험
생닭발|강아지|주의|중간|질기고 소화가 어려워 소량만
건조닭발|강아지|주의|중간|딱딱해 치아 손상 가능
연골간식|강아지|허용|낮음|부드러워 비교적 안전하지만 과다 섭취는 피해야 함
도가니|강아지|주의|중간|지방이 많아 췌장 부담 가능
개우유껌|강아지|주의|낮음|소화가 느리고 장폐색 위험 있어 모니터링 필요
소힘줄간식|강아지|허용|낮음|부드러우며 치석 제거에 도움되나 과다 금지
오리안심저키|강아지|주의|중간|염분을 확인하고 급여해야 안전
연어껍질트릿|강아지,고양이|주의|중간|기름기가 많아 소량만 허용
참치껍질트릿|강아지|주의|중간|나트륨 포함 가능
고등어구이(무염)|강아지|주의|낮음|지방 많아 소량만 급여
고등어통조림|강아지,고양이|금지|높음|기름·나트륨·첨가물 과다
꽁치구이(무염)|강아지|주의|중간|잔가시 제거 필수
꽁치통조림|강아지|금지|높음|염분·양념 및 기름 과다
훈제연어|강아지,고양이|금지|높음|염분·훈제첨가물로 건강에 해로움
훈제햄|강아지,고양이|금지|높음|나트륨과 방부제가 많아 매우 위험
훈제오리|강아지|금지|높음|지방과 염분이 매우 많음
회덮밥재료|강아지,고양이|금지|높음|양념·초장·식초 모두 위험
초밥네타(생선)|강아지|주의|중간|생선은 기생충 위험 있어 익혀주는 것이 안전
초밥밥|강아지|금지|중간|초밥 식초·설탕 성분이 위험함
김밥|강아지,고양이|금지|중간|양념·조미료·당근·햄 등 혼합되어 위험
참치마요김밥|강아지,고양이|금지|높음|마요네즈·양파 가능성, 나트륨 과다
라면|강아지,고양이|금지|높음|면 자체 기름지고 스프는 독성 수준의 염분
우동(양념없음)|강아지|주의|낮음|면 조금은 괜찮으나 영양 부족
칼국수(양념없음)|강아지|주의|낮음|면 자체는 소량 가능하지만 주식 금지
짜장면|강아지,고양이|금지|높음|양파·기름·소스 등 위험 요소 다수
짬뽕|강아지,고양이|금지|높음|매운 양념·해물·기름 성분 위험
탕수육|강아지,고양이|금지|높음|튀김+소스 모두 위험
깐풍기|강아지,고양이|금지|높음|매운 양념과 튀김 조합
파스타(크림)|강아지,고양이|금지|중간|유제품·지방이 많아 위험
파스타(토마토소스)|강아지,고양이|금지|중간|양파·마늘·향신료 포함 가능
파스타(무염)|강아지|주의|낮음|면만 소량 허용
삶은옥수수|강아지,고양이|주의|낮음|알갱이는 안전하지만 속대 금지
옥수수수염차|강아지,고양이|허용|낮음|무첨가 시 안전하나 과량 금지
보리차|강아지,고양이|허용|낮음|무카페인으로 수분 보충에 도움
결명자차|강아지|주의|중간|많이 마시면 설사 가능
둥굴레차|강아지,고양이|허용|낮음|무카페인으로 무난한 편
홍삼차|강아지,고양이|금지|중간|사포닌 성분이 반려동물에게 적합하지 않음
인삼|강아지,고양이|금지|높음|신경계 자극 및 소화 장애 유발 가능
대추차|강아지,고양이|주의|낮음|당분 높아 소량만 허용
유자차|강아지,고양이|주의|낮음|유자 껍질의 오일이 위장 자극
레몬차|강아지,고양이|금지|중간|강산성으로 치아·위장 자극
생강차|강아지,고양이|주의|낮음|따뜻하게 소량 허용 가능
약과|강아지,고양이|금지|높음|기름·설탕 과다
백설기|강아지|주의|낮음|소량 가능하나 탄수화물 덩어리
인절미|강아지,고양이|금지|중간|질기고 질식 위험
절편|강아지|주의|낮음|작게 잘라 소량 허용
떡볶이|강아지,고양이|금지|높음|매운 양념·설탕·조미료 위험
순대|강아지,고양이|금지|높음|양념+내장 조합
부침개|강아지,고양이|금지|높음|기름+양파 가능성
계란말이|강아지|주의|낮음|간·양념 넣으면 위험, 무염은 소량 가능
계란찜|강아지,고양이|허용|낮음|부드럽고 소화가 쉬움
계란프라이|강아지|주의|중간|기름 사용 여부에 따라 위험도 증가
무염달걀스크램블|강아지,고양이|허용|낮음|소화 쉽고 안전
연두부|강아지|주의|낮음|식물성 단백질이지만 알레르기 가능성 존재
단단한두부|강아지,고양이|주의|낮음|콩 알레르기 가능성
콩나물|강아지,고양이|주의|중간|날콩은 독성, 익힌 콩나물은 소량 허용
숙주나물|강아지|주의|낮음|소량 안전하나 양념 금지
무생채|강아지,고양이|금지|중간|식초·고춧가루·양념 위험
나물류(양념없음)|강아지|주의|낮음|쓴맛과 섬유질로 소량만 허용
김(무염)|강아지,고양이|허용|낮음|미네랄 공급, 염분 주의
김(가염)|강아지,고양이|금지|중간|염분 과다
미역국(양념없음)|강아지|주의|낮음|요오드 과다 주의
된장국|강아지,고양이|금지|높음|나트륨 매우 높음
미소된장국|강아지,고양이|금지|높음|소금·양념 과다
돼지국밥|강아지,고양이|금지|높음|양념·지방·나트륨 위험
설렁탕(무염)|강아지|주의|낮음|기름 제거 시 소량 가능
곰탕(무염)|강아지,고양이|주의|낮음|기름 제거 필수
육개장|강아지,고양이|금지|높음|매운 양념 위험
토마토|강아지,고양이|허용|낮음|붉은 숙성 토마토는 안전, 초록 토마토는 독성 가능
방울토마토|강아지,고양이|허용|낮음|비타민 공급, 소량 안전
풋토마토|강아지,고양이|금지|중간|솔라닌 독성 가능
오이피클|강아지,고양이|금지|높음|식초·소금 과다
양배추피클|강아지,고양이|금지|높음|식초·설탕 많음
무피클|강아지,고양이|금지|높음|산·설탕·소금이 혼합되어 위험
오렌지껍질|강아지|금지|중간|껍질 오일이 위장 자극
사과껍질|강아지,고양이|허용|낮음|깨끗이 씻어서 소량 허용
바나나껍질|강아지,고양이|금지|중간|질기고 소화 어려움
키위껍질|강아지,고양이|금지|중간|털 같은 껍질이 목에 걸릴 수 있음
수박껍질|강아지,고양이|금지|중간|질기고 소화되지 않아 장폐색 위험
참외껍질|강아지,고양이|금지|중간|질기고 소화 어려움
배껍질|강아지|주의|낮음|깨끗이 씻으면 소량 가능
감|강아지,고양이|주의|중간|떫은 감은 장폐색 유발 가능
곶감|강아지,고양이|주의|중간|당분 높아 비만·설사 위험
홍시|강아지,고양이|주의|중간|혈당 급상승 가능
편의점삼각김밥|강아지,고양이|금지|높음|양념·첨가물·나트륨 많음
샌드위치|강아지,고양이|금지|높음|소스·양념·야채 구성 위험
햄치즈샌드위치|강아지,고양이|금지|높음|햄·치즈·소스 문제
계란샌드위치|강아지|주의|중간|양념 여부에 따라 다름
참치샌드위치|강아지,고양이|금지|높음|마요네즈·양파 포함 가능
치킨버거|강아지,고양이|금지|높음|튀김·양념 조합으로 매우 위험
불고기버거|강아지,고양이|금지|높음|소스와 양념이 독성 가능
프렌치프라이|강아지,고양이|금지|높음|기름+소금 과다
치킨|강아지|주의|중간|튀김이면 금지, 무염 찜은 소량 가능
양념치킨|강아지,고양이|금지|높음|매운 양념+설탕+기름 조합
간장치킨|강아지,고양이|금지|높음|간장 나트륨 과다
후라이드치킨|강아지,고양이|금지|높음|기름 때문에 췌장염 위험
고구마스틱(애견용)|강아지|허용|낮음|무첨가 제품 소량 허용
애견전용비스킷|강아지|허용|낮음|규격 기준 충족된 제품이면 안전
애견전용치즈스낵|강아지|주의|낮음|나트륨 포함 가능
애견전용연어스낵|강아지|허용|낮음|오메가3 공급 가능
애견전용사과스낵|강아지|허용|낮음|첨가물 적어 안전
고양이캣닢|고양이|허용|낮음|스트레스 완화 효과 있으나 과량 금지
캣그라스|고양이|허용|낮음|헤어볼 배출에 도움
고양이우유스낵|고양이|주의|낮음|칼로리 있어 양 조절 필요
고양이염분간식|고양이|주의|중간|나트륨 과다 섭취 주의
사람용비타민|강아지,고양이|금지|높음|철분·지용성 비타민 과량 위험
사람용오메가3|강아지,고양이|금지|높음|용량 조절 실패 시 설사·위장 장애 가능
사람용영양제|강아지,고양이|금지|높음|사람 기준으로 제조되어 중독 위험
샤인머스켓|강아지,고양이|금지|높음|포도 계열 과일로 강아지·고양이에게 급성 신부전을 일으킬 수 있으며 소량 섭취도 매우 위험함
깨|강아지,고양이|주의|중간|지방이 많고 소화가 어려워 설사나 구토를 유발할 수 있어 소량만 허용됨
들기름|강아지,고양이|주의|중간|독성은 없지만 지방 함량이 매우 높아 설사나 췌장에 부담을 줄 수 있어 소량만 허용됨

